year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,public relations/corporate communications professional,5500,4305,3630,5413,4282,3609
2024,purchasing agent,5237,4248,3570,5105,4194,3500
2024,quality assurance technician,5651,4292,3300,5246,3998,2867
2024,quality control/assurance engineer,8471,6310,4794,8251,6105,4742
2024,quality control/assurance manager,14094,9100,6174,13750,8987,6109
2024,quantity surveyor,6322,5030,4000,6250,5000,3920
2024,radiation therapist,7186,5629,4424,7184,5628,4424
2024,rail station service assistant,3312,2810,1500,3312,2810,1500
2024,real estate agent,6109,3800,2966,5800,3774,2850
2024,receptionist (general),3349,2724,1977,3217,2629,1850
2024,regional sales manager,17850,11000,7245,16940,10410,6829
2024,"registered nurse and other nursing professional (e.g. clinical nurse, nurse educator, excluding enrolled nurse)",6835,5276,4261,6668,5212,4233
2024,relief teacher,3332,2765,1732,3332,2765,1732
2024,research and development manager,17189,10896,7061,16911,10838,7001
2024,research officer (non-statistical),6812,5200,4500,6807,5200,4478
2024,resident technical officer,4921,3800,2888,4800,3500,2634
2024,residential and open areas general cleaner,2060,1750,1600,1900,1740,1590
2024,restaurant manager,4710,4000,3000,4500,3850,2854
2024,retail manager,6420,4500,3517,5950,4000,3184
2024,revenue specialist,11000,6387,4340,11000,6370,4208
2024,risk management manager,18332,11946,7558,18176,11913,7508
2024,road transport operations officer,5881,4507,3875,4681,4000,3400
2024,rolling stock engineer,7939,6795,5444,7897,6527,5313
2024,rolling stock engineering technician,3436,2970,2567,3436,2970,2561
2024,safety and security consultant,14833,8318,6175,14833,8208,6000
2024,"safety inspector (vehicles, processes and products)",5378,3964,3300,5000,3737,3156
2024,sales demonstrator,4216,2550,1750,2691,2060,1600
2024,sales manager,10353,7049,5000,9678,6500,4536
2024,sales professional (institutional sales of financial products),16750,9583,6331,16423,9467,6200
2024,sales supervisor,4080,3220,2532,3592,2772,2129
2024,salesperson (door-to-door),7900,3811,1600,7500,2521,1600
2024,school counsellor,6830,3497,2252,6830,3497,2252
2024,school principal,8853,6967,5755,8599,6832,5522
2024,script writer and editor,6737,3945,3369,6582,3600,3200
2024,secretary,6840,5035,3728,6708,4874,3571
2024,securities and finance broker,14351,8508,5817,13836,8508,5817
2024,securities and finance dealer,17203,7896,5200,17182,7836,5200
2024,securities clerk,7046,5972,4545,7046,5972,4545
2024,security manager,10000,6729,3800,9878,6669,3784
2024,security operations specialist,12250,7700,5375,12114,7700,5032
2024,security supervisor,3450,3236,2750,3278,3062,2595
2024,semi-conductor engineer,8723,6600,5638,8686,6581,5597
2024,semi-conductor technician,8770,4462,3217,8770,4409,3200
2024,"senior cook (e.g. station chef, commis cook 1, station cook)",4297,3425,2678,4085,3135,2455
2024,senior private security officer,3366,3082,2950,3000,2950,2744
2024,senior security supervisor,4249,3720,3346,3752,3418,3055
2024,service designer,12890,8557,5162,12890,8543,5162
2024,sewing machine operator,3000,2267,1738,3000,2059,1738
2024,ship broker (e.g. charter or sales & purchase),17700,9000,4180,17700,9000,4180
2024,ship charterer,18360,12399,6860,17160,12399,6860
2024,shipping agent/boarding officer,5370,4046,3307,4540,3781,3066
2024,shipping clerk,4218,3320,2600,4018,3141,2442
2024,shop sales assistant,2800,2359,1600,2578,2030,1400
2024,slimming consultant,5621,4081,3115,2030,2000,2000
2024,social science researcher,8917,6600,6250,8917,6600,6250
2024,social service manager,8319,5643,4130,8319,5643,4130
2024,social work associate,4014,3378,2835,3920,3320,2800
2024,social worker (general),5374,4405,3920,5327,4370,3900
2024,software and applications manager,15816,10779,7620,15666,10729,7500
2024,software developer,13513,8888,6658,12574,8750,6599
2024,sonographer,8247,5200,3950,7810,5200,3950
2024,speech therapist,6167,4764,4381,6167,4764,4381
2024,"sports and recreational attendant (e.g. golf marshal, golf caddie, fun fair attendant, bowling alley attendant, swimming pool attendant)",3800,2980,2350,3309,2589,2144
2024,sports centre manager,7308,4895,3598,6850,4000,2888
2024,sports coach,7100,4896,3380,6592,4654,3000
2024,stationary plant and machine supervisor/general foreman,7753,4705,3343,7556,3882,2417
2024,statistical clerk,5000,4401,4000,5000,4401,4000
2024,statistical officer/data analyst,12201,8356,5807,12106,8305,5800
2024,statistician,6465,4720,3887,6465,4720,3887
2024,stock records clerk,3933,2716,1950,3633,2576,1800
2024,storekeeper,3080,2500,2000,2938,2379,1900
2024,strategic planning manager,19546,12936,8185,19122,12779,8119
2024,supervisor/general foreman (building and related trades),4800,3480,2000,4500,3330,2000
2024,"supervisor/general foreman (electrical and electronic trades, excluding lift)",6750,4796,3383,6500,4557,3200
2024,"supervisor/general foreman (food processing, woodworking, garment, leather and related trades)",4000,3861,3449,4000,3432,2949
2024,"supervisor/general foreman (metal, machinery and related trades)",9090,7712,4048,9053,7537,3213
2024,"supervisor/general foreman (precision, handicraft, printing and related trades)",6489,4739,3345,6127,4040,2931
2024,supervisor/general foreman of assemblers and quality checkers,8000,5775,3964,7600,5396,3500
2024,supply and distribution/logistics/warehousing manager,9882,6650,5050,9677,6550,4959
2024,systems designer/analyst,9500,6966,5772,9300,6915,5734
2024,table-top cleaner,1840,1670,1420,1800,1600,1380
2024,tailor/dressmaker,3500,2098,1450,3500,2098,1450
2024,tax accountant,14893,9726,6595,14800,9700,6527
2024,tax associate professional,5025,4300,3600,5000,4295,3600
2024,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",2084,1725,1570,2050,1660,1490
2024,teacher aide,3130,2500,2200,3047,2377,1990
2024,teaching assistant/tutor in university,6000,5800,4500,6000,5800,4500
2024,technical sales professional,10250,6850,5104,9511,6331,4700
2024,technical writer,9392,5891,4368,9392,5793,4359
2024,technical/engineering services manager (excluding transport),12391,8684,6034,12166,8394,5931
2024,technical/vocational/commercial education institute teacher and trainer,4542,3800,3360,4542,3800,3360
2024,telecommunications engineer,10106,6158,4865,10051,6158,4703
2024,telecommunications technician,3998,3421,2961,3967,3411,2961
2024,telemarketer,5000,4072,2900,4692,3500,2563
2024,telephone operator,3645,2523,1890,3579,2485,1795
2024,tool and die maker,4763,4017,3380,4399,3305,2958
2024,tour guide,3857,2881,2525,3828,2650,2500
2024,trade broker,20000,13500,5768,20000,12667,5768
2024,traditional chinese medicine practitioner,7120,4289,2452,4870,3700,2360
2024,trailer-truck driver (including prime mover driver),3837,2860,2056,2996,2368,1517
2024,train operations officer,3992,3385,2742,3521,3138,2615
2024,train operator,3258,2774,2542,2701,2325,2124
2024,train service supervisor,4027,3272,2698,3477,2799,2296
2024,training and staff development professional,6171,4490,3751,5901,4439,3660
2024,training manager,7270,5960,5214,7162,5910,5190
2024,translator,8924,6456,4776,8724,6456,4400
2024,transport/technical operations manager (except port/shipping operations),12650,7679,5381,11799,7490,5365
2024,travel agency manager,11580,7770,5630,10896,7713,5630
2024,travel consultant/reservation executive,5057,3810,2500,4962,3727,2500
2024,treasury manager,11795,9405,7750,11761,9401,7750
2024,tree worker/technician,2100,1921,1878,1963,1850,1850
2024,typist and word processing operator,3800,2803,2160,3770,2803,2138
2024,undertaker,4735,4137,3000,4735,4137,3000
2024,underwater diver,5975,4030,3320,5975,3790,3200
2024,university lecturer,17850,12990,9434,17788,12858,9270
2024,urban planner,7500,5382,4382,7350,5290,4278
2024,urologist,9696,6729,6071,8666,6199,5541
2024,van driver,2886,2148,1500,2403,1764,1264
2024,vehicle attendant,3129,2620,2000,2844,2320,1850
2024,veterinarian,11390,8500,5492,11390,8500,5175
2024,veterinary technician/assistant,4851,3531,2905,4812,3446,2814
2024,video camera operator,6842,5434,3900,6842,5434,3900
2024,visual merchandiser,7032,4736,3614,6963,4691,3265
2024,volunteer executive,4367,3565,2600,4367,3542,2600
2024,waiter,2099,1565,1400,1850,1360,1190
2024,warehouse worker,3114,2458,2070,2750,2200,1880
2024,waste recycling sorter,3639,2110,1801,2320,2010,1200
2024,waste truck driver (including hooklift trucks with roll-on containers),4780,4140,3441,4006,2620,2620
2024,watch and clock assembler/repairer,6016,4500,2925,5608,4400,2850
2024,web and mobile applications developer,9314,7000,6050,9299,7000,6050
2024,website administrator/webmaster,8166,4500,3200,7500,4498,3200
2024,welder and flame cutter,4443,3050,2300,3415,2877,2210
2024,wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage),8725,5635,3800,8556,4636,3000
2024,wholesale trade manager,14500,8905,6199,14239,8811,5218
2024,youth work associate,2800,2500,2400,2800,2500,2400
