year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,civil engineering technician,5720,4310,2990,5600,4119,2800
2024,civil engineering/building construction labourer,1660,1550,1400,1610,1500,1400
2024,civil/structural engineering draughtsman,4000,2819,2471,3932,2819,2471
2024,cleaning supervisor,2976,2210,1600,2455,1882,1376
2024,clearing and forwarding agent,4823,4047,3504,4758,3978,3400
2024,clinical psychologist,7024,5495,4850,7013,5495,4850
2024,clinical research coordinator,5986,4500,3905,5900,4500,3894
2024,clinical research professional,13632,8990,6632,12705,8818,6632
2024,cloud specialist,15176,9583,7001,14774,9494,7000
2024,commercial airline pilot,17003,13878,11594,17003,13878,11594
2024,commodities and freight derivatives broker,18662,12000,8205,18662,12000,8205
2024,commodities trader (excluding oil and bunker),20000,16000,8800,20000,16000,8800
2024,community health worker,4425,3103,3000,4270,3103,3000
2024,"community, partnership and relations manager",7585,6250,5140,7500,6180,5086
2024,company director,16602,11000,5200,16150,10620,5000
2024,compliance officer/risk analyst (financial),13048,7395,5500,13003,7341,5450
2024,computer engineer,6679,6061,5572,6679,6061,5572
2024,computer systems operator,8143,5425,4357,7821,5168,3156
2024,concierge (hotel),3488,3002,2580,3300,2821,2450
2024,concrete mix truck driver,3268,2666,1600,2350,1913,1216
2024,construction manager,11154,7600,5200,10900,7450,5000
2024,contact centre information clerk,4418,3150,2513,4314,3025,2443
2024,content writer,8097,5250,4327,8097,5250,4300
2024,cook (e.g. commis cook 2/3),2955,2028,1500,2760,1979,1398
2024,counsellor (family),5300,4350,3700,5278,4350,3650
2024,crane operator (on-site),3368,3117,2953,3366,3117,2953
2024,crane/hoist operator (excluding port),6496,4979,3390,4750,3200,2320
2024,creative advertising professional,10415,7089,4975,10325,7053,4930
2024,crewing executive (ship),6167,4377,3539,6070,4053,3196
2024,curator,8000,5595,4610,7840,5595,4610
2024,customer service manager,13015,8470,5925,12607,8311,5800
